Ref,Qty,Value,Manufacturer,MPN,Package,Rail/Function,Status,Notes
U1,1,CCGM1A1-BGA324,Cologne Chip,CCGM1A1,BGA-324 15x15mm P0.8mm,+1V0 core / +2V5 GPIO banks,SELECTED,"Interpolation chain, three-bit modulator and DWA rotation. 28 VDD balls on +1V0 plus VDD_PLL, 2x VDD_SER, VDD_SER_PLL; 45 bank supply balls plus VDD_CLK on +2V5. Ball map from the stock KiCad symbol, not invented. 0005, 0008, 0013."
U2,1,FT601Q,FTDI,FT601Q,QFN-76-1EP 9x9mm P0.4mm,+3V3 VCC33/VDDA/AVDD and +2V5 VCCIO,SELECTED,"USB 3.0 bridge, 245 Sync FIFO at 66.67 MHz. Chosen over the FT2232H because VCCIO can be set to 2.5 V, which removes level translation. Orderable suffix (package/tape option) not fixed. 0005."
U3,1,LT3045,Analog Devices,LT3045,DFN-10-1EP 3x3mm P0.5mm,+3V3 from +5V,SELECTED,"Regulator rather than a switcher because it feeds the USB PHY analog supply. Dissipates 315 mW nominal and 361 mW at the USB 5.25 V maximum; tie the exposed pad to plane with thermal vias. Grade and package suffix not fixed. EN/UV is unconnected in the netlist. 0009."
C1-C45,45,100nF,,,0402 (1005 metric),+2V5 GateMate bank decoupling,MISSING,"Never chosen. One per bank supply ball is the floor, not the design. Value and package fixed by the netlist; dielectric, voltage rating and manufacturer open. 0009 also requires a noise filter between every regulator and the FPGA, which is not in the netlist."
C46-C73,28,100nF,,,0402 (1005 metric),+1V0 GateMate core decoupling,MISSING,"Never chosen. One per VDD ball. Value and package fixed; dielectric and manufacturer open."
C74-C76,3,100nF,,,0402 (1005 metric),+3V3 FT601Q VCC33 decoupling,MISSING,"Never chosen. Value and package fixed; dielectric and manufacturer open. The bridge VD10/DV10 pins (its internal 1.0 V core regulator) have no decoupling in the netlist."
C77-C80,4,100nF,,,0402 (1005 metric),+2V5 FT601Q VCCIO decoupling,MISSING,"Never chosen. Value and package fixed; dielectric and manufacturer open."
R1-R2,2,10k,,,0402 (1005 metric),ID0 and ID1 pull-down to GND,MISSING,"Never chosen. Pull-downs make 0b00 mean no module fitted. Value and package fixed; tolerance and manufacturer open. interface.md."
J2,1,Mezzanine 2x40,,,PinHeader 2x40 P1.27mm vertical,Mezzanine to the output module,MISSING,"Never chosen. The netlist uses a generic 1.27 mm 2x40 header as a stand-in for pin count. 32 element lines each beside a ground is 64 pins, plus MCLK and 5 control lines, which leaves 10 spare: pins 71, 73, 75, 77 and 79 carry +5V and the even pins 72 to 80 carry GND. Pin assignment waits on layout by design. interface.md, netlist/README.md."
,1,LTM4622,Analog Devices,LTM4622,,+1V0 and +2V5 from +5V,MISSING,"Selected in 0009 but absent from main_board.py, so the 1.0 V and 2.5 V rails have no source today. Dual output, one package for both switching rails, 2 A per channel against 149 mA and 15 mA of load. 3.6 V minimum input sits below the 4.45 V USB 3.0 guarantees at the device. Not in the stock KiCad libraries, so it needs a symbol as well as wiring. Its RUN pins are what gate the FPGA rails until enumeration completes; confirm the run-pin behaviour against the datasheet. See power.md."
,1,Ferrite bead,,,,+5V VBUS input filter,MISSING,"Never chosen and absent from the netlist. Named in 0009 and in interface.md, which defines the module supply as being downstream of it. Must carry the full 381 mA; power.md assumes 50 mOhm DCR for the 19 mV drop. The +5V net has no bulk or bypass capacitance either."
,1,USB 3.0 receptacle,,,,+5V VBUS input and USB data,MISSING,"Never chosen. Both the USB 2.0 pair (DP/DM) and the SuperSpeed pairs on the bridge are unconnected, so the board has no power entry point and no data path. SuperSpeed pairs need controlled impedance. 0005, open-items.md."
,1,SPI flash,,,,Configuration from +3V3 or +2V5,MISSING,"Never chosen. CFG_MD[3:0] is strapped to 0b0000 for SPI Active, but the flash it reads from does not exist and the GateMate SPI pins on bank WA are unconnected. Size is genuinely open: 0013 previously said 2 Mbit was ample and that was wrong, because bitstream size scales with utilisation (97,566 bytes for lyrebird_tag_decode against 184,050 for lyrebird_unpack). Size it once something near the full design builds. 0006, 0013."
,1,Programming header,,,,JTAG for development,MISSING,"Never chosen. The GateMate JTAG pins on bank WA are unconnected. No programming silicon goes on the board; openFPGALoader drives it over an external FTDI adapter. 0006."
,1,Bridge crystal and load capacitors,,,,FT601Q XI/XO,MISSING,"Never chosen. The bridge crystal pins are open. open-items.md."
