Ref,Qty,Value,Manufacturer,MPN,Package,Rail/Function,Status,Notes
U2,1,74AVC4T245,Texas Instruments,SN74AVC4T245PW,TSSOP-16 4.4x5mm P0.65mm,VCC(B) on +3V3_CLK and VCC(A) on +2V5,SELECTED,"Two independent 2-bit banks. Carries MCLK out (B to A) and the two oscillator enables in (A to B). Lives on the module so the mezzanine never carries 3.3 V. Partial power-down puts both ports high impedance with either supply at ground, which protects the FPGA when a module is absent or unpowered. In the netlist only its supplies and GND are wired: all data pins, DIR and OE are open, and VCC(A) has no source. Second-source parts exist for the generic type. 0012."
U5,1,LT3045,Analog Devices,LT3045,DFN-12-1EP 3x3mm P0.45mm,+3V3_REF element reference from +5V,SELECTED,"The one place in the design where the specific regulator matters: this rail sets full scale, so its noise is multiplicative. Target about 10 uV across the audio band on 3.3 V. Dissipates 92 mW at 54 mA. EN/UV unconnected, so the rail is not gated at power-on. Grade and package suffix not fixed. 0009, 0012."
U6,1,LT3045,Analog Devices,LT3045,DFN-12-1EP 3x3mm P0.45mm,+3V3_CLK clock chain from +5V,SELECTED,"Oscillators, divider and translator B side, regulated separately from the element reference so the two loads do not share a rail. Dissipates 64 mW at 37.5 mA. EN/UV unconnected. 0009."
U8,1,LT3094,Analog Devices,LT3094,DFN-12-1EP 3x3mm P0.45mm,-5V_A op amp negative rail,SELECTED,"Negative post-regulator for the op amp stage. Its IN pins are unconnected in the netlist and no charge pump exists to feed them, so the rail has no source. Op amp PSRR falls steeply with frequency, so post-regulating the pump is not optional. 0009."
Y1,1,CCHD-957 49.152MHz,Crystek,CCHD-957,4-pin SMD (stand-in footprint),+3V3_CLK,PLACEHOLDER,"Part selected in 0012; the netlist symbol and footprint are an Abracon ASE stand-in with the same EN/GND/OUT/Vdd pinout but the wrong footprint. Ordering suffix for frequency, tolerance and supply not fixed. 48 kHz family, divided by two to a 24.576 MHz element clock. 15.5 mA running, 1.5 mA in standby; standby shuts the resonator down rather than gating the output."
Y2,1,CCHD-957 45.1584MHz,Crystek,CCHD-957,4-pin SMD (stand-in footprint),+3V3_CLK,PLACEHOLDER,"Same part and same stand-in as Y1. 44.1 kHz family, divided by two to 22.5792 MHz. Two oscillators are required because the families sit at 147 to 160, which no divider bridges. Exactly one runs at a time. In the netlist both EN pins are driven straight from the 2.5 V header rather than through the translator."
U1,1,clock divider /2,,,SOT-353 SC-70-5 (stand-in),+3V3_CLK,PLACEHOLDER,"Never chosen. The netlist carries a 74AUP1G74 stand-in; the real part is a low-additive-jitter fanout divider that halves the oscillator and drives two register packages and the header with tight skew. Its D input is unconnected in the netlist, so it does not divide. Estimated at 20 mA in power.md and never costed in 0009 at all. 0012, open-items.md, netlist/README.md."
U3a,1,16-bit register (ch L) stand-in,,,SOIC-20W 7.5x12.8mm (stand-in),+3V3_REF element reference,PLACEHOLDER,"Never chosen. 0012 calls for ONE 16-bit package per channel so both polarities share a die, one supply pin and one clock-to-output distribution, because even-order cancellation depends on the two sides matching. No 16-bit symbol exists in stock KiCad libraries, so the netlist substitutes two 74HCT574 octals per channel. Same connectivity, not that property. A custom symbol is needed before this is a real schematic."
U3b,1,16-bit register (ch L) stand-in,,,SOIC-20W 7.5x12.8mm (stand-in),+3V3_REF element reference,PLACEHOLDER,"Second half of the channel L stand-in pair. See U3a."
U4a,1,16-bit register (ch R) stand-in,,,SOIC-20W 7.5x12.8mm (stand-in),+3V3_REF element reference,PLACEHOLDER,"Channel R stand-in pair. The real part is constrained to a logic family whose input threshold is 2.0 V at a 3.3 V supply, so the 2.4 V the FPGA guarantees at 2.5 V is accepted with margin; a 0.7xVCC family would sit at 2.31 V and be marginal. That threshold is what lets 28 element lines cross untranslated. 0012."
